Categoria;Cargo;Vantagens;Descontos ;Líquido;;
A DISPOSICAO COMISSIONADO;SERVIDOR EMLURB DISP.CAMARA;3297;215;3082;;
A DISPOSICAO;SERVIDOR OUT PREFEITURAS CMR;0;0;0;;
A DISPOSICAO COMISSIONADO;SERVIDOR OUTROS ORGAOS DISP;6197;615;5582;;
A DISPOSICAO COMISSIONADO;SERVIDOR URB DISP.CAMARA;894;71;822;;
A DISPOSICAO COMISSIONADO;SERVIDOR EDUC PCR DISP.CAMAR;3171;234;2936;;
A DISPOSICAO COMISSIONADO;SERVIDOR EMLURB DISP.CAMARA;487;54;434;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3432;188;3244;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4479;412;4067;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4155;354;3801;;
VEREADORES;VEREADOR;14635;2936;11699;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8929;1658;7271;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8168;1449;6719;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;16845;3835;13010;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
A DISPOSICAO;SERVIDOR URB DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3804;232;3571;;
A DISPOSICAO COMISSIONADO;SERVIDOR EDUC PCR DISP.CAMAR;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3589;202;3387;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;13236;2843;10394;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6197;870;5327;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6197;785;5412;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3313;177;3136;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7550;1227;6323;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;17351;3974;13377;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8934;1555;7379;;
A DISPOSICAO;SERVIDOR URB DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;14096;3079;11017;;
ESTATUTARIOS;ASSESSOR EM TAQUIGRAFIA;21269;6252;15017;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;10809;2123;8686;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3432;188;3244;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8444;1525;6919;;
VEREADORES;VEREADOR;14635;2884;11751;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3970;259;3712;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;10110;1983;8127;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;12753;2710;10043;;
ESTATUTARIOS;ARQUITETO;6091;295;5796;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5639;635;5005;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3432;188;3244;;
ESTATUTARIOS;CONSULTOR LEGISLATIVO;10555;1339;9216;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8444;1525;6919;;
A DISPOSICAO COMISSIONADO;SERVIDOR URB DISP.CAMARA;274;0;274;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3494;194;3301;;
A DISPOSICAO COMISSIONADO;SERVIDOR URB DISP.CAMARA;894;71;822;;
